0,n,y,n,y,y,y,n,n,n,y,y,y,y,n,y,republican;
1,n,y,n,y,y,,n,n,n,n,,y,y,n,n,republican;
2,y,n,y,n,n,y,y,y,n,n,n,y,n,y,,democrat;
3,y,n,y,n,n,y,y,y,n,n,n,n,n,y,y,democrat;
4,y,n,n,y,y,n,n,n,y,n,y,y,y,n,n,republican;
5,n,n,y,n,n,y,y,y,n,y,n,n,n,y,y,democrat;
6,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y,democrat;
7,n,n,n,y,y,n,n,n,n,n,y,y,y,n,n,republican;
8,y,y,y,n,n,y,y,n,y,n,n,n,n,n,y,democrat;
9,y,n,y,n,y,y,y,y,y,y,n,n,n,n,y,democrat;
10,n,n,n,y,y,n,n,n,n,y,y,y,y,n,n,democrat;
11,y,n,y,n,n,y,y,y,y,y,n,n,n,y,y,democrat;
12,n,y,n,y,y,n,n,n,y,n,y,y,y,n,y,republican;
13,y,n,y,n,y,y,y,y,y,n,y,n,y,n,,democrat;
14,n,,n,y,y,n,n,n,n,n,y,y,y,n,y,republican;
15,y,y,y,y,y,n,y,y,n,y,n,n,y,n,,democrat;
16,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y,democrat;
17,y,n,y,n,n,n,y,y,y,n,n,n,y,y,y,republican;
18,n,y,y,y,y,n,n,n,y,y,y,y,y,n,,democrat;
19,n,n,n,y,y,n,n,n,y,n,y,n,y,n,y,republican;
20,n,n,n,y,y,n,n,n,y,n,,y,y,n,,republican;
21,n,n,y,n,y,y,y,y,n,n,n,n,n,y,y,democrat;
22,y,y,n,y,y,n,n,n,y,n,n,y,y,n,y,republican;
23,y,y,y,n,n,y,y,y,n,n,n,n,n,,,democrat;
24,n,n,n,n,y,y,,y,n,n,y,y,y,n,y,republican;
25,y,n,y,y,y,y,n,y,y,n,n,y,y,n,,democrat;
26,n,,y,n,y,n,y,n,y,y,n,n,n,y,y,democrat;
27,n,y,n,y,y,n,n,n,n,n,y,y,y,n,y,republican;
28,y,y,y,y,y,n,n,n,y,y,n,y,y,n,y,democrat;
29,n,n,n,y,y,n,n,n,n,n,y,y,y,n,n,republican;
30,y,n,y,n,n,y,y,y,n,n,n,n,n,y,y,democrat;
31,y,,y,n,n,y,y,y,n,,n,n,n,y,,democrat;
32,n,y,n,y,y,n,,n,n,n,y,y,y,n,y,republican;
33,n,y,n,y,n,n,n,n,n,,,y,y,n,n,republican;
34,n,n,y,n,n,y,y,y,y,y,n,n,n,y,y,democrat;
35,y,y,y,n,n,y,y,y,n,y,n,n,n,n,y,democrat;
36,y,n,n,y,y,y,n,n,y,y,n,n,y,n,y,democrat;
37,y,n,y,n,n,y,y,y,y,n,n,n,n,y,y,democrat;
38,n,y,n,y,y,y,y,n,n,y,y,y,y,y,y,republican;
39,y,y,y,n,,y,y,n,n,y,n,n,n,y,y,democrat;
40,n,y,n,y,y,n,n,n,n,n,y,y,y,n,y,republican;
41,,,y,n,n,y,y,y,,,n,n,n,,,democrat;
42,n,,n,y,y,n,n,n,y,n,y,y,y,n,y,republican;
43,y,n,y,n,n,y,y,y,n,n,n,n,n,y,,democrat;
44,n,n,n,y,y,n,n,n,n,n,y,y,y,n,n,republican;
45,n,y,y,n,y,n,y,y,n,y,n,y,n,y,y,democrat;
46,n,y,n,y,y,n,n,n,n,y,y,n,y,n,n,democrat;
47,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y,republican;
48,n,,n,y,y,n,n,n,y,n,y,y,y,n,n,republican;
49,y,y,,,y,n,n,n,n,y,n,y,n,n,y,democrat;
50,n,y,y,y,y,n,y,n,y,,n,y,y,,y,democrat;
51,y,n,y,,y,,y,y,y,n,n,y,y,n,y,democrat;
52,y,y,y,n,y,y,y,y,n,y,n,y,n,,y,democrat;
53,n,n,n,y,y,y,y,y,y,n,y,y,y,n,y,republican;
54,,y,n,n,n,y,y,y,y,y,n,n,y,y,y,democrat;
55,n,n,y,n,n,y,y,y,n,n,n,n,n,y,,democrat;
56,y,n,y,n,n,y,y,y,y,n,n,n,y,y,y,democrat;
57,n,y,n,y,y,n,n,n,y,n,,y,y,n,n,republican;
58,n,y,y,y,y,n,n,n,n,y,y,,y,n,n,democrat;
59,n,n,n,y,y,n,n,n,y,n,y,n,y,n,y,republican;
60,y,y,y,n,n,y,y,y,n,n,n,,,y,y,democrat;
61,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,democrat;
62,n,y,y,n,n,y,y,y,y,n,n,,n,y,y,democrat;
63,n,y,n,y,y,n,n,n,n,n,n,y,y,,y,republican;
64,n,y,y,n,n,n,y,y,n,y,n,n,y,y,y,democrat;
65,n,y,n,y,y,n,n,n,y,n,y,y,,n,,republican;
66,n,n,n,y,y,n,n,n,y,n,y,n,y,n,y,republican;
67,y,y,y,n,n,y,y,y,n,y,n,n,n,y,,democrat;
68,n,y,y,y,y,n,n,n,y,y,y,y,y,y,,democrat;
69,y,,n,y,y,y,n,n,y,n,y,y,y,n,y,republican;
70,y,y,y,n,y,y,y,y,y,y,y,y,n,n,y,democrat;
71,n,,y,n,y,y,y,n,y,n,n,n,n,y,,democrat;
72,n,n,y,n,y,y,y,y,y,y,n,n,n,,y,democrat;
73,y,y,n,y,y,y,n,n,n,n,y,y,y,n,y,republican;
74,n,y,n,y,y,n,n,n,y,n,y,y,y,n,y,republican;
75,y,n,y,n,n,y,y,y,y,n,,n,n,y,y,democrat;
76,n,y,n,y,y,n,n,n,y,n,y,y,y,,n,republican;
77,n,n,n,y,y,n,n,n,n,n,y,y,y,n,y,republican;
78,n,n,n,y,n,y,n,y,y,n,n,n,y,n,y,republican;
79,y,,n,y,y,n,y,n,n,n,y,y,y,n,y,republican;
80,y,n,y,n,,y,y,y,n,,,n,,,,democrat;
81,y,y,y,y,y,y,y,n,y,,,,y,n,y,republican;
82,n,n,y,y,y,n,n,n,n,,n,y,y,n,n,democrat;
83,n,n,n,y,y,y,n,n,n,n,,n,y,y,y,republican;
84,y,y,n,y,y,n,n,n,n,n,n,y,y,n,y,republican;
85,y,y,y,n,n,y,y,y,n,y,n,n,n,y,,democrat;
86,y,y,y,n,n,y,y,y,y,n,n,y,n,y,y,democrat;
87,n,y,n,n,y,y,n,y,n,y,n,n,n,y,y,democrat;
88,,,y,n,n,y,y,,n,,,,,,,democrat;
89,n,n,n,y,y,n,n,n,n,y,y,y,y,n,y,republican;
90,n,y,y,y,y,n,y,n,n,n,n,n,n,n,y,democrat;
91,y,n,y,n,y,y,y,y,y,y,n,n,y,y,y,democrat;
92,n,y,y,,y,y,y,y,y,y,n,n,,n,,democrat;
93,n,y,n,y,y,y,n,n,n,n,y,y,y,n,y,republican;
94,n,y,y,n,n,y,y,y,n,n,n,y,n,,,democrat;
95,n,n,y,n,y,,y,,y,y,y,n,y,y,,democrat;
96,y,n,y,n,n,y,y,y,y,y,n,n,y,y,y,democrat;
97,n,n,n,y,n,y,y,y,y,n,y,y,y,n,y,republican;
98,n,n,y,y,y,n,n,n,y,y,y,y,y,n,y,democrat;
99,n,y,y,n,n,y,y,y,y,y,n,n,n,y,y,democrat;
100,n,n,n,y,y,n,n,n,y,,y,y,y,n,n,republican;
101,y,n,y,n,y,y,y,y,n,n,n,n,n,y,y,democrat;
102,n,n,n,y,y,n,n,n,n,n,y,y,y,n,y,republican;
103,n,n,y,n,n,y,y,y,y,n,n,n,n,y,y,democrat;
104,n,n,y,y,y,n,n,y,n,n,n,y,y,y,,democrat;
105,y,n,y,n,y,y,y,y,n,n,n,n,y,n,,democrat;
106,n,y,n,y,y,n,n,n,n,y,y,y,y,n,n,republican;
107,n,n,y,n,n,y,y,y,y,n,n,n,y,n,y,democrat;
108,n,y,n,y,y,n,n,n,n,n,y,y,y,n,n,republican;
109,,,,,,,,y,,,,,,,,democrat;
110,y,y,y,n,n,y,y,y,n,y,n,n,n,n,y,democrat;
111,n,y,n,y,y,n,,n,y,n,y,y,y,n,,republican;
112,y,n,n,n,y,y,y,y,y,n,n,n,y,y,y,democrat;
113,y,,n,y,y,y,y,n,n,n,y,,y,,,republican;
114,n,n,y,n,y,y,y,y,y,n,n,y,n,n,y,democrat;
115,y,n,y,n,n,n,y,y,y,n,n,n,n,y,y,democrat;
116,y,,y,n,n,y,y,y,n,n,n,n,n,y,,democrat;
117,y,n,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat;
118,n,n,y,n,n,y,y,n,y,y,n,n,n,y,,democrat;
119,n,,y,n,n,y,y,y,n,n,n,n,n,y,y,democrat;
120,n,,n,y,y,n,n,n,y,n,y,y,y,n,n,republican;
121,y,n,y,y,y,y,n,,n,y,n,y,y,y,,democrat;
122,y,,y,n,n,y,y,y,n,n,n,y,n,y,y,democrat;
123,y,n,y,n,n,y,y,y,n,n,n,n,n,n,y,democrat;
124,y,y,y,y,y,y,y,y,y,y,n,y,y,n,,democrat;
125,y,n,y,n,n,y,y,y,n,n,n,n,n,y,,democrat;
126,y,n,y,n,n,y,y,y,y,y,n,n,n,y,y,democrat;
