0,37,-1,80,-1,20,18,43,59,16,1;
1,37,0,74,0,28,25,38,46,8,1;
2,53,0,88,2,52,-5,35,36,2,1;
3,38,2,83,0,38,26,45,44,0,1;
4,46,0,77,0,46,-1,31,30,0,1;
5,56,0,81,0,-6,25,25,88,64,4;
6,41,0,87,1,42,22,46,46,0,1;
7,42,-3,76,-1,42,0,34,35,2,1;
8,55,0,81,1,-10,0,25,91,66,4;
9,47,0,90,1,46,0,44,44,0,1;
10,55,-5,95,0,50,0,40,46,6,4;
11,55,0,77,0,-22,-26,21,100,78,4;
12,37,0,76,7,20,-20,39,55,16,1;
13,37,0,106,8,28,-97,69,78,8,1;
14,41,-1,83,3,38,-2,42,44,2,1;
15,53,0,102,0,54,24,49,48,0,1;
16,37,0,77,0,34,-25,40,44,4,1;
17,44,1,79,0,44,21,35,35,0,1;
18,45,-3,81,0,44,0,37,37,0,1;
19,45,-2,79,-3,44,0,34,35,2,1;
20,37,0,75,-1,24,-2,38,52,14,1;
21,45,3,84,0,44,0,38,40,2,1;
22,55,0,97,1,46,-8,41,50,8,4;
23,37,0,77,0,36,8,39,41,2,1;
24,56,0,97,4,54,23,41,42,2,1;
25,56,3,76,0,-18,-1,20,94,74,4;
26,47,2,88,6,46,0,41,41,0,1;
27,39,2,80,-8,38,-13,41,41,0,1;
28,39,0,79,4,38,0,39,40,0,1;
29,45,0,86,-1,44,-8,41,42,2,1;
30,45,-2,77,0,44,0,32,34,2,1;
31,52,4,86,-1,52,0,33,34,0,1;
32,43,-3,86,0,42,-20,42,44,2,1;
33,49,-1,84,0,50,11,36,35,0,1;
34,55,0,78,0,10,-2,23,68,46,4;
35,37,0,103,0,26,10,66,77,12,1;
36,51,0,79,0,50,-17,27,30,2,1;
37,79,0,83,0,-38,1,4,122,118,5;
38,41,0,77,2,38,-12,36,39,2,1;
39,37,0,83,0,10,-30,46,72,26,1;
40,56,0,78,0,16,-2,22,63,40,4;
41,37,0,76,1,26,5,40,50,10,1;
42,55,1,81,-2,54,0,26,26,0,1;
43,37,0,76,0,38,7,39,37,0,1;
44,41,0,81,0,38,-20,40,42,2,1;
45,45,0,78,-3,44,0,33,34,2,1;
