0,6.7,3.3,5.7,2.1,Iris-virginica;
1,5.5,2.3,4.0,1.3,Iris-versicolor;
2,7.9,3.8,6.4,2.0,Iris-virginica;
3,5.7,3.0,4.2,1.2,Iris-versicolor;
4,5.5,2.4,3.8,1.1,Iris-versicolor;
5,6.6,3.0,4.4,1.4,Iris-versicolor;
6,6.4,2.8,5.6,2.1,Iris-virginica;
7,5.0,2.0,3.5,1.0,Iris-versicolor;
8,6.4,3.2,5.3,2.3,Iris-virginica;
9,6.8,2.8,4.8,1.4,Iris-versicolor;
10,5.0,2.3,3.3,1.0,Iris-versicolor;
11,5.8,2.8,5.1,2.4,Iris-virginica;
12,7.7,2.8,6.7,2.0,Iris-virginica;
13,5.2,3.5,1.5,0.2,Iris-setosa;
14,5.7,2.9,4.2,1.3,Iris-versicolor;
15,4.8,3.4,1.9,0.2,Iris-setosa;
16,5.2,2.7,3.9,1.4,Iris-versicolor;
17,5.4,3.7,1.5,0.2,Iris-setosa;
18,5.6,2.9,3.6,1.3,Iris-versicolor;
19,6.5,3.2,5.1,2.0,Iris-virginica;
20,4.8,3.0,1.4,0.1,Iris-setosa;
21,5.4,3.4,1.5,0.4,Iris-setosa;
22,7.7,3.8,6.7,2.2,Iris-virginica;
23,5.0,3.4,1.5,0.2,Iris-setosa;
24,6.9,3.2,5.7,2.3,Iris-virginica;
25,5.5,4.2,1.4,0.2,Iris-setosa;
26,6.0,2.2,4.0,1.0,Iris-versicolor;
27,4.9,3.1,1.5,0.1,Iris-setosa;
28,6.3,3.4,5.6,2.4,Iris-virginica;
29,5.4,3.9,1.3,0.4,Iris-setosa;
30,6.7,2.5,5.8,1.8,Iris-virginica;
31,5.6,2.7,4.2,1.3,Iris-versicolor;
32,6.1,2.8,4.7,1.2,Iris-versicolor;
33,5.4,3.9,1.7,0.4,Iris-setosa;
34,6.3,2.5,4.9,1.5,Iris-versicolor;
35,6.8,3.2,5.9,2.3,Iris-virginica;
36,4.8,3.1,1.6,0.2,Iris-setosa;
37,6.4,2.9,4.3,1.3,Iris-versicolor;
38,7.2,3.6,6.1,2.5,Iris-virginica;
39,6.7,3.0,5.0,1.7,Iris-versicolor;
40,5.8,2.7,5.1,1.9,Iris-virginica;
41,4.9,3.1,1.5,0.1,Iris-setosa;
42,5.5,3.5,1.3,0.2,Iris-setosa;
43,4.6,3.4,1.4,0.3,Iris-setosa;
44,5.7,2.8,4.5,1.3,Iris-versicolor;
45,6.5,3.0,5.2,2.0,Iris-virginica;
46,5.0,3.3,1.4,0.2,Iris-setosa;
47,5.1,2.5,3.0,1.1,Iris-versicolor;
48,6.1,2.8,4.0,1.3,Iris-versicolor;
49,4.8,3.0,1.4,0.3,Iris-setosa;
